KEY,Russian,English,German,Italian,French,Spanish,Japanese,Korean,Chinesetrad,Chinesesimple,Portuguese
thompson,Пулемёт Томпсона,Thompson M 1928 A1,Thompson M 1928 A1,Thompson M 1928 A1,Thompson M 1928 A1,Thompson M 1928 A1,トンプソンM 1928 A1,톰슨 M 1928 A1,湯普森1928年中號A1,汤普森1928年中号A1,Thompson M 1928 A1
shotgun_ammo,Патроны для дробовика,Shotgun ammo,Schrotflinte ammo,munizioni Shotgun,munitions fusil de chasse,munición de la escopeta,散弾銃の弾薬,샷건 탄약,霰彈槍彈藥,霰弹枪弹药,munição de espingarda
dragunov_ammo,Патроны для винтовки Драгунова,Dragunov ammo,Dragunov ammo,Dragunov munizioni,Dragunov munitions,munición Dragunov,ドラグノフ弾薬,Dragunov 탄약,德拉古諾夫彈藥,德拉古诺夫弹药,Dragunov munição
revolver_ammo,Патроны для револьвера,Revolver ammo,Revolver ammo,revolver munizioni,munitions Revolver,munición de revólver,リボルバー弾薬,리볼버 탄약,左輪手槍彈藥,左轮手枪弹药,munição de revólver
glock17_ammo,Патроны для Glock-17,Glock-17 ammo,Glock-17 ammo,Glock-17 munizioni,Glock-17 munitions,Glock-17 munición,グロック-17の弾薬,글록-17 탄약,格洛克-17彈藥,格洛克-17弹药,Glock-17 munição
thompson_ammo,Патроны для пулемёта Томпсона,Thompson ammo,Thompson ammo,Thompson munizioni,munitions Thompson,munición Thompson,トンプソンの弾薬,톰슨 탄약,湯普森彈藥,汤普森弹药,Thompson munição
thompson_ammo_descr,Используется для стрельбы из пулемёта Томпсона,Used to fire Thompson's machine gun,Gebrauchte Thompson Maschinengewehr abzufeuern,Destinata ad alimentare mitragliatrice Thompson,Utilisé pour tirer la mitrailleuse de Thompson,Se utiliza para disparar la ametralladora Thompson,トンプソンの機関銃を発射するために使用します,톰슨 기관총을 발사하는 데 사용,用來燒製湯普森機槍,用来烧制汤普森机枪,Usado para disparar metralhadora Thompson
dragunov_ammo_descr,Используется для стрельбы из снайперской винтовки Драгунова,Used for shooting from Dragunov sniper rifle,Wird für die von Dragunov Scharfschützengewehr schießen,Usato per il tiro da fucile da cecchino Dragunov,Utilisé pour le tir de fusil de sniper Dragunov,Utilizado para el rodaje de Fusil de francotirador Dragunov,ドラグノフ狙撃銃から撮影さ,Dragunov 저격 소총에서 촬영에 사용,用於從SVD狙擊步槍射擊,用于从SVD狙击步枪射击,Usado para fotografar de Dragunov rifle sniper
glock17_ammo_descr,Используется для стрельбы из пистолета Glock-17,Used to fire a Glock-17 gun,"Verwendet, um eine Glock-17 Gewehr abzufeuern",Destinata ad alimentare una pistola Glock-17,Utilisé pour tirer un pistolet Glock-17,Se usa para disparar una pistola Glock-17,グロック-17銃を発射するために使用します,글록-17 총을 발사하는 데 사용,用火格洛克-17槍,用火格洛克-17枪,Usado para disparar uma arma Glock-17
shotgun_ammo_descr,Используется для стрельбы из дробовика,It used to shotgunUsed to fire a shotgun,Früher shotgunUsed eine Schrotflinte schießen,E 'usato per shotgunUsed per sparare un fucile da caccia,Il fut shotgunUsed de tirer un fusil de chasse,Se utiliza para shotgunUsed para disparar una escopeta,それは散弾銃を発射するshotgunUsedに使用しました,그것은 산탄 총을 발사 shotgunUsed에 사용,它曾經shotgunUsed火獵槍,它曾经shotgunUsed火猎枪,É usado para shotgunUsed para disparar uma espingarda
revolver_ammo_descr,Используется для стрельбы из револьвера,Used to fire a revolver,Verwendet einen Revolver abzufeuern,Destinata ad alimentare un revolver,Utilisé pour tirer un revolver,Se usa para disparar un revólver,リボルバーを発射するために使用します,권총을 발사하는 데 사용,用火一把左輪手槍,用火一把左轮手枪,Utilizado para disparar um revólver
clothe_descr,Защищает от атак врага и согревает холодной ночью,Protection from enemy attacks and warm on a cold night,Schutz vor feindlichen Angriffen und warm in einer kalten Nacht,Protezione dagli attacchi dei nemici e caldo in una notte fredda,Protection contre les attaques ennemies et chaleureux sur une nuit froide,Protección de los ataques enemigos y caliente en una noche fría,寒い夜に敵の攻撃からの保護と暖かいです,추운 밤에 적의 공격으로부터 보호하고 따뜻한,從敵人的攻擊保護和溫暖在一個寒冷的夜晚,从敌人的攻击保护和温暖在一个寒冷的夜晚,Proteção contra ataques inimigos e quente em uma noite fria
leather_shirt,Кожанная Рубашка,Leather Shirt,Lederhemd,Camicia in pelle,Chemise en cuir,Camisa de cuero,レザーシャツ,가죽 셔츠,皮革襯衫,皮革衬衫,couro shirt
leather_cap,Кожанная Шапка,Leather Cap,Ledermütze,Cap pelle,Cap en cuir,Gorra de cuero,レザーキャップ,가죽 모자,皮革帽,皮革帽,Cap couro
leather_pants,Кожанные Штаны,Leather Pants,Lederhosen,Pantaloni di pelle,Pantalon en cuir,Pantalones de cuero,レザーパンツ,가죽 바지,皮褲,皮裤,Calça de couro
leather_boots,Кожанные Ботинки,Leather Boots,Lederstiefel,Stivali di pelle,Bottes en cuir,Botas de cuero,レザーブーツ,가죽 부츠,皮靴,皮靴,Botas de couro
fur_shirt,Меховая Рубашка,Fur Shirt,Pelz-Hemd,Fur shirt,fourrure shirt,Camisa de pieles,毛皮シャツ,모피 셔츠,毛皮襯衫,毛皮衬衫,Fur shirt
fur_cap,Меховая Шапка,Fur Cap,Fell-Kappe,Fur Cap,Bonnet de fourrure,Gorro de piel,毛皮の帽子,모피 모자,皮帽,皮帽,Cap Fur
fur_pants,Меховые Штаны,Fur Pants,Fur Hosen,Fur Pants,Pantalon de fourrure,Pantalones de piel,毛皮のパンツ,모피 바지,皮草褲子,皮草裤子,Calças de pele
fur_boots,Меховые Ботинки,Fur Boots,Pelzstiefel,stivali di pelliccia,Bottes de fourrure,Botas de piel,ファーブーツ,모피 부츠,毛毛靴,毛毛靴,botas de pele
small_backpack,Мальнький рюкзак,Small backpack,Kleiner Rucksack,piccolo zaino,Petit sac à dos,mochila pequeña,サブザック,작은 배낭,小背包,小背包,mochila pequena
small_backpack_descr,Мальнький рюкзак,Small backpack,Kleiner Rucksack,piccolo zaino,Petit sac à dos,mochila pequeña,サブザック,작은 배낭,小背包,小背包,mochila pequena
medium_backpack,Средний рюкзак,Medium backpack,Medium Rucksack,Media zaino,sac à dos Medium,mochila mediana,ミディアムバックパック,중간 배낭,中型背包,中型背包,mochila médio
medium_backpack_descr,Средний рюкзак,Medium backpack,Medium Rucksack,Media zaino,sac à dos Medium,mochila mediana,ミディアムバックパック,중간 배낭,中型背包,中型背包,mochila médio
big_backpack,Большой рюкзак,Big backpack,Big Rucksack,Grande zaino,Big sac à dos,mochila grande,ビッグバックパック,큰 배낭,大背包,大背包,Big mochila
big_backpack_descr,Большой рюкзак,Big backpack,Big Rucksack,Grande zaino,Big sac à dos,mochila grande,ビッグバックパック,큰 배낭,大背包,大背包,Big mochila
meat,Мясо,Meat,Fleisch,La carne,Moi à,Carne,お肉,고기,肉,肉,Carne
fried_meat,Жаренное Мясо,Fried Meat,Gebratenes Fleisch,Carne fritta,viande frite,Carne frita,揚げ肉,튀긴 고기,炸肉,炸肉,Carne frita
fish,Рыба,Fish,Fisch,Pesce,Poisson,Pescado,魚,물고기,魚,鱼,Peixe
fried_fish,Жаренная рыба,Fried Fish,Gebratene Fische,Pesce fritto,Poisson frit,Pescado frito,揚げ魚,생선 튀김,煎魚,煎鱼,Peixe frito
coffee_pack,Кофе,Coffee,Kaffee,Caffè,café,Café,コーヒー,커피,咖啡,咖啡,café
adrenaline,Адреналин,Adrenaline,Adrenalin,Adrenaline,Adrénaline,La adrenalina,アドレナリン,아드레날린,腎上腺素,肾上腺素,Adrenaline
adrenaline_descr,Восстанавливает энергию,Restores energy,Stellt Energie,ripristina energia,Restaure l'énergie,restaura la energía,エネルギーを復元,에너지를 복원,能量恢復,能量恢复,restaura a energia
apple,Яблоко,Apple,Apfel,Mela,pomme,manzana,林檎,사과,蘋果,苹果,maçã
banana,Банан,Banana,Banane,Banana,banane,Plátano,バナナ,바나나,香蕉,香蕉,Banana
bandage,Бинт,Bandage,Bandage,Bendare,Bandage,Vendaje,包帯,붕대,繃帶,绷带,Curativo
bandage_descr,Восстанавливает здоровье,Restore health,Wiederherstellung der Gesundheit,ripristinare la salute,Restaurer la santé,Recuperar salud,健康を回復,건강을 복원,恢復健康,恢复健康,restaurar a saúde
medkit,Аптечка,Med-Kit,Med-Kit,Med-Kit,Med-Kit,Med-Kit,MED-キット,MED-키트,MED-套件,MED-套件,Med-Kit
medkit_descr,Восстанавливает здоровье,Restore health,Wiederherstellung der Gesundheit,ripristinare la salute,Restaurer la santé,Recuperar salud,健康を回復,건강을 복원,恢復健康,恢复健康,restaurar a saúde
anti_radiation_pills,Антирадиационные таблетки,Anti-radiation pills,Anti-Strahlung Pillen,pillole anti-radiazioni,pilules anti-rayonnement,pastillas contra la radiación,抗放射線薬,안티 - 방사선 알약,抗輻射藥丸,抗辐射药丸,pílulas anti-radiação
anti_radiation_pills_descr,Убавляет уровень облучения радиацией,Bates level of radiation exposure,Bates Ebene der Strahlenexposition,il livello di esposizione alle radiazioni Bates,niveau Bates d'exposition aux rayonnements,Bates nivel de exposición a la radiación,放射線被曝のベイツレベル,방사선 노출의 베이츠 수준,輻射暴露水平貝茨,辐射暴露水平贝茨,nível Bates de exposição à radiação
wood_plank,Доска,Wooden Plank,Holzbrett,Asse di legno,Une planche de bois,Tablón de madera,木製プランク,나무 판자,木棧道,木栈道,Tábua de madeira
wood_plank_descr,Используется в строительстве деревянных сооружений,It used in the construction of wooden structures,Es wird verwendet bei der Konstruktion von Holzbauten,Ha usato nella costruzione di strutture in legno,Il est utilisé dans la construction de structures en bois,Se utiliza en la construcción de estructuras de madera,これは、木造構造物の建設に使用されます,이는 나무 구조의 구성에 사용,它在木結構的建築用,它在木结构的建筑用,Ele é utilizado na construção de estruturas de madeira
cobblestone,Булыжник,Cobblestone,Pflasterstein,ciottolo,Pavé,Guijarro,玉石,조약돌,鵝卵石,鹅卵石,carvão gigante
cobblestone_descr,Используется в строительстве каменных сооружений,It used in the construction of stone structures,Früher war es in den Bau von Steinstrukturen,Ha usato nella costruzione di strutture di pietra,Il est utilisé dans la construction de structures en pierre,Se utiliza en la construcción de estructuras de piedra,これは、石の構造物の建設に使用されます,그것은 돌 구조물의 건설에 사용,它在石頭結構的建築用,它在石头结构的建筑用,Ele é utilizado na construção de estruturas de pedra
decor_descr,Используется для интерьера,Used for the interior,Wird für den Innenraum,Utilizzato per l'interno,Utilisé pour l'intérieur,Se utiliza para el interior,インテリアに使用します,내부에 사용,用於內部,用于内部,Usado para o interior
sheep_rug,Ковёр из овцы,Carpet of sheep,Teppich von Schafen,Tappeto di pecore,Tapis de moutons,Alfombra de las ovejas,羊のカーペット,양 카펫,羊地毯,羊地毯,Tapete de ovelhas
bear_rug,Ковёр из медведя,Carpet of bear,Teppich der Bär,Tappeto di orso,Tapis de l'ours,Alfombra de oso,クマのカーペット,곰의 카펫,熊地毯,熊地毯,Tapete de urso
kitchen_table,Кухонный стол,Kitchen table,Küchentisch,Tavolo della cucina,Table de cuisine,Mesa de cocina,キッチンテーブル,주방 테이블,廚房的桌子,厨房的桌子,Mesa da cozinha
coffee_table,Кофейный стол,Coffee table,Kaffetisch,Tavolino da caffè,Table basse,Mesa de café,コー​​ヒーテーブル,커피 테이블,咖啡桌,咖啡桌,Mesa de café
chair,Стул,Chair,Sessel,Sedia,Chaise,Silla,椅子,의자,椅子,椅子,Cadeira
sofa,Диван,Sofa,Sofa,Divano,Canapé,Sofá,ソファー,소파,沙發,沙发,Sofá
item-cupboard_closed,Шкаф,Cupboard,Schrank,Credenza,Placard,Alacena,食器棚,찬장,櫥櫃,橱柜,Armário
item-cupboard_room,Шкаф с полками,Cupboard modern,Schrank moderner,armadio moderno,armoire moderne,armario moderno,現代の食器棚,현대 찬장,現代櫥櫃,现代橱柜,armário moderno
fence,Забор,Fence
jerrycan,Бензин,Petrol,Benzin,Benzina,Essence,Gasolina,ガソリン,가솔린,汽油,汽油,Gasolina
jerrycan_descr,Используется для заправки транспорта,used for fueling cars,Gebrauchtwagen für die Betankung,utilizzato per alimentare le automobili,utilisé pour le ravitaillement des voitures,utilizado para el carburante para vehículos,車に燃料を供給するために使用,자동차 연료에 사용,用於汽車加油,用于汽车加油,utilizado para abastecer carros
fire,Разжечь,Fire,Feuer,Fuoco,Feu,Fuego,火災,불,火,火,Fogo
no_fuel,Нет бензина,No fuel,Kein Kraftstoff,No di carburante,Pas de carburant,No hay combustible,いいえ燃料はありません,어떤 연료 없다,沒有燃料,没有燃料,Sem combustível
car_fill,Заправить,Fill,Füllen,Riempire,Remplir,Llenar,埋めます,가득 따르다,填,填,Preencher
set_car_position,Переместить машину в город,Move car to city,Bewegen Auto zum Stadt,Spostare auto in città,Déplacez la voiture en ville,Mueva coche para ciudad,街に車を移動します,도시로 차를 이동,移動汽車城,移动汽车城,Mova carro para cidade
set_car_position_confirm,Вы уверены что хотите переместить машину в город?,Are you sure you want to move the car in the city?,"Sind Sie sicher, dass Sie das Auto in der Stadt zu bewegen?",Sei sicuro che si desidera spostare l'auto in città?,Etes-vous sûr que vous voulez déplacer la voiture dans la ville?,¿Está seguro de que desea mover el coche en la ciudad?,あなたは街で車を移動するにしてもよろしいですか？,당신은 도시에서 차를 이동 하시겠습니까?,你確定你要移動車在城市？,你确定你要移动车在城市？,Tem certeza de que deseja mover o carro na cidade?
player_respawn_confrim,Вы уверены что хотите переместиться в точку спауна?,Are you sure you want to move into the spawn point?,"Sind Sie sicher, dass Sie in den Spawn-Punkt zu bewegen?",Sei sicuro che si desidera spostare nel punto di spawn?,Etes-vous sûr que vous voulez déplacer dans le point de spawn?,¿Está seguro de que desea mover en el punto de generación?,あなたはスポーンポイントに移動するにしてもよろしいですか？,당신은 스폰 지점으로 이동 하시겠습니까?,你確定你要移動到重生點？,你确定你要移动到重生点？,Tem certeza de que deseja mover para o ponto de desova?
wood_ceiling,Деревянный потолок,Wooden Ceiling,Holzdecke,in legno del soffitto,plafond en bois,techo de madera,木製の天井,목조 천장,木製天花板,木制天花板,teto de madeira
wood_ceiling_descr,Устанавливается над первым и остальными этажами здания,Set on the first and the other floors of the building,Auf den ersten und den anderen Stockwerken des Gebäudes,Situato al primo e gli altri piani dell'edificio,Situé sur la première et les autres étages du bâtiment,Situado en la primera y los otros pisos del edificio,建物の第一および他の階に設定,제 1 및 건물의 다른 층에 집합,設置在第一和建築物的其它樓層,设置在第一和建筑物的其它楼层,Localizado no primeiro e os outros pisos do edifício
wood_foundation,Деревянное основание,Wooden Foundation,Holz-Stiftung,Fondazione di legno,Fondation en bois,Fundación de madera,木製財団,나무 재단,木製基金會,木制基金会,Fundação de madeira
wood_foundation_descr,Служит основанием для установки остальных конструкций,It serves as the basis for the installation of the remaining structures,Es dient als Basis für die Montage der verbleibenden Strukturen,Essa serve come base per l'installazione delle restanti strutture,Elle sert de base pour la mise en place des structures restantes,"Además, es la base para la instalación de las estructuras restantes",これは、残りの構造物の設置のための基礎として機能します,그것은 나머지 구조물의 설치를위한 기초 역할,它作為用於安裝的剩餘的結構的基礎,它作为用于安装的剩余的结构的基础,Ele serve como a base para a instalação das estruturas restantes
wood_wall,Деревянная стена,Wooden Wall,Hölzerne Wand,parete di legno,mur en bois,Pared de madera,木製の壁,나무 벽,木牆,木墙,parede de madeira
wood_wall_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
wood_wall_door,Деревянный дверной проём,Wooden Doorway,hölzerne Tür,Porta in legno,Doorway bois,Umbral de madera,木製の戸口,나무 출입구,門口木,门口木,Entrada de madeira
wood_wall_door_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
wood_wall_window,Деревянный оконный проём,Wooden Window,Holzfenster,finestra in legno,fenêtre en bois,ventana de madera,木製窓,나무 창,木製窗,木制窗,Indicador de madeira
wood_wall_window_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
wood_stairs,Деревянная лестница,Wooden Stairs,Holztreppen,Scale di legno,Escaliers en bois,Escaleras de madera,木の階段,나무 계단,木製樓梯,木制楼梯,Escadas de madeira
wood_stairs_descr,Служит для перемещения между этажами,Use it for moves between floors,Verwenden Sie es für bewegt sich zwischen den Etagen,Usalo per spostamenti tra i piani,Utilisez-le pour les déplacements entre les étages,Utilizarlo para los movimientos entre los pisos,フロア間の移動のためにそれを使用します,바닥 사이의 이동을 위해 사용,使用它的地板之間移動,使用它的地板之间移动,Use-o para se move entre pisos
stone_ceiling,Каменный потолок,Stone Ceiling,Naturstein Decke,pietra soffitto,Pierre plafond,piedra Natural techo,石の天井,돌 천장,石頭天花板,石头天花板,pedra Tecto
stone_ceiling_descr,Устанавливается над первым и остальными этажами здания,Set on the first and the other floors of the building,Auf den ersten und den anderen Stockwerken des Gebäudes,Situato al primo e gli altri piani dell'edificio,Situé sur la première et les autres étages du bâtiment,Situado en la primera y los otros pisos del edificio,建物の第一および他の階に設定,제 1 및 건물의 다른 층에 집합,設置在第一和建築物的其它樓層,设置在第一和建筑物的其它楼层,Localizado no primeiro e os outros pisos do edifício
stone_foundation,Каменное основание,Stone Foundation,Stein-Stiftung,Fondazione di pietra,Fondation Pierre,Primera piedra,ストーン財団,스톤 재단,石基,石基,pedra Fundamental
stone_foundation_descr,Служит основанием для установки остальных конструкций,It serves as the basis for the installation of the remaining structures,Es dient als Basis für die Montage der verbleibenden Strukturen,Essa serve come base per l'installazione delle restanti strutture,Elle sert de base pour la mise en place des structures restantes,"Además, es la base para la instalación de las estructuras restantes",これは、残りの構造物の設置のための基礎として機能します,그것은 나머지 구조물의 설치를위한 기초 역할,它作為用於安裝的剩餘的結構的基礎,它作为用于安装的剩余的结构的基础,Ele serve como a base para a instalação das estruturas restantes
stone_wall,Каменная стена,Stone Wall,Steinwand,Muro di pietra,Mur de pierre,Pared de piedra,石垣,돌 벽,石牆,石墙,Parede de pedra
stone_wall_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
stone_wall_door,Каменный дверной проём,Stone Doorway,Steineingang,pietra Porta,Pierre Doorway,Umbral de piedra,ストーン戸口,돌 출입구,石門洞,石门洞,pedra Porta de Entrada
stone_wall_door_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
stone_wall_window,Каменный оконный проём,Stone Window,Steinfenster,finestra di pietra,fenêtre Pierre,ventana de piedra,ストーンウィンドウ,스톤 창,石窗,石窗,Janela de pedra
stone_wall_window_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur auf dem Fundament gesetzt werden,Può essere impostato solo sulla fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
stone_stairs,Каменная лестница,Stone Stairs,Steintreppen,Scale di pietra,Escaliers de pierre,Escaleras de piedra,石の階段,돌 계단,石梯,石梯,Escadas de pedra
stone_stairs_descr,Служит для перемещения между этажами,Use it for moves between floors,Verwenden Sie es für bewegt sich zwischen den Etagen,Usalo per spostamenti tra i piani,Utilisez-le pour les déplacements entre les étages,Utilizarlo para los movimientos entre los pisos,フロア間の移動のためにそれを使用します,바닥 사이의 이동을 위해 사용,使用它的地板之間移動,使用它的地板之间移动,Use-o para se move entre pisos
main_items,Основное,Main,Main,Principale,Principal,Principal,メイン,본관,主要,主要,a Principal
gold_name,Золото,Gold,Gold,Oro,Or,Oro,ゴールド,금,金,金,Ouro
gold_descr,Блестит и завораживает,It shines and fascinates,Es glänzt und fasziniert,Brilla e affascina,Il brille et fascine,Brilla y fascina,それは輝くと魅了,그것은 빛나고 매력적,它的光芒和著迷,它的光芒和着迷,Ela brilha e fascina
1000_gold_name,Горсть золота,Handful of gold,Eine Hand voll Gold,Manciata di oro,Poignée d'or,Puñado de oro,金の一握り,금의 소수,黃金一小撮,黄金一小撮,Punhado de ouro
5000_gold_name,Куча золота,Pile of gold,Stapel von Gold,Mucchio d'oro,Pile d'or,Pila de oro,金の山,금의 더미,金樁,金桩,Pilha de ouro
30000_gold_name,Мешок золота,Bag of gold,Beutel Gold,Borsa d'oro,Sac d'or,Bolsa de oro,金のバッグ,금의 가방,金袋,金袋,Saco de ouro
20000_gold_name,Сундук золота,Chest of gold,Chest of Gold,Petto d'oro,Poitrine d'or,Cofre de oro,金のチェスト,금의 가슴,黃金胸部,黄金胸部,Baú de ouro
no_ads,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS,No ADS
starter_pack,Стартовый пакет,Starter Pack,Anfänger Packet,Starter pack,Kit de départ,Paquete de inicio,スターターパック,스타터 팩,入門包,入门包,Pacote de iniciante
builder_kit,Набор строителя,Builder kit,builder kit,kit Builder,kit constructeur,kit de montaje,ビルダーキット,빌더 키트,建設者套件,建设者套件,kit Builder
fighter_kit,Набор бойца,Fighter kit,Kämpfer-Kit,kit Fighter,kit Fighter,kit de combate,ファイターキット,파이터 키트,戰士套裝,战士套装,kit lutador
survival_kit,Набор для выживания,Survival Kit,Überlebenskit,Kit di sopravvivenza,Kit de survie,Kit de supervivencia,サバイバルキット,구명 장비,救生包,救生包,Kit de sobrevivência
save_game,Сохранить игру,Save Game,Spiel speichern,Salva il gioco,Sauvegarder la partie,Guardar partida,ゲームを保存する,게임을 저장,保存遊戲,保存游戏,Salvar jogo
continue,Продолжить,Continue,Fortsetzen,proseguire,Continuer,Continuar,持続する,잇다,繼續,继续,Continuar
save_and_exit,Сохранить и выйти,Save and Exit,Speichern und schließen,Salva ed esci,Sauvegarder et quitter,Guardar y Salir,保存して終了,저장하고 종료,保存並退出,保存并退出,Salvar e sair
use,Использовать,Use,Benutzen,Uso,Utilisation,Utilizar,つかいます,용도,使用,使用,Usar
buy,Купить,Buy,Kaufen,Acquistare,Acheter,Comprar,購入,사다,購買,购买,Comprar
time,Время,Time,Zeit,Tempo,Temps,Hora,時間,시각,時間,时间,Tempo
yes,Да,Yes,ja,sì,Oui,Sí,はい,예,是,是,sim
no,Нет,No,Nein,No,Non,No,いいえ,아니,沒有,没有,Não
no_money,Не хватает золотых монет!,Not enough gold coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!,Not enough coins!
confrim_new_game,Вы уверены что хотите начать новую игру?\nТекущий прогресс будет утерян,Are you sure you want to start a new game?\nCurrent progress will be lost,"Sind Sie sicher, dass Sie ein neues Spiel starten? \nCurrent Fortschritt verloren gehen",Sei sicuro di voler iniziare una nuova partita? \n Sarà persa progresso nCurrent,Êtes-vous sûr de vouloir commencer un nouveau jeu? \n Progrès nCarte actuelle sera perdue,¿Seguro que desea iniciar un nuevo juego? \n Se perderá el progreso nCurrent,あなたは新しいゲームを開始してもよろしいですか？\n Currentの進行状況が失われます,당신은 당신이 새로운 게임을 시작 하시겠습니까? \nCurrent 진행이 손실됩니다,你確定要開始新遊戲？\n目前的進度將丟失,你确定要开始新游戏？\n目前的进度将丢失,Tem certeza de que quer começar um novo jogo? \n Progresso nCurrent serão perdidos
language,Язык,Language,Sprache,Lingua,La langue,Idioma,言語,언어,語言,语言,Língua
new_game,Новая игра,New Game,Neues Spiel,Nuovo gioco,Nouveau jeu,Nuevo juego,新しいゲーム,새로운 게임,新遊戲,新游戏,Novo jogo
bed_respawn_descr,Сделать точкой респауна. Если вас убьют вы будете появляться в этом месте,"Make a point of respawn. If you get killed, you will appear at this location","Machen Sie einen Punkt von Respawn. Wenn Sie getötet werden, werden Sie an dieser Stelle erscheinen","Fare un punto di respawn. Se vieni ucciso, vi apparirà in questa posizione","Faire un point de respawn. Si vous êtes tué, vous apparaîtrez dans ce lieu","Hacer un punto de reaparecer. Si te matan, que aparecerá en esta ubicación",復活のポイントを作ります。あなたが殺される場合は、この場所に表示されます,"부활의 지점을 확인합니다. 당신이 죽을 경우에, 당신은이 위치에 나타납니다",使重生的一個點。如果你被殺，你會出現在這個位置,使重生的一个点。如果你被杀，你会出现在这个位置,"Faça um ponto de respawn. Se você for morto, você vai aparecer neste local"
set,Назначить,Set,Set,Impostato,Ensemble,Conjunto,セット,세트,組,组,Conjunto
dream,Спать,Dream,Traum,Sognare,Rêver,Sueño,夢,꿈,夢想,梦想,Sonho
sleep_time,Время сна,Sleep time,Schlafenszeit,Ora di dormire,Temps de sommeil,Hora de dormir,睡眠時間,수면 시간,睡覺時間,睡觉时间,Hora de dormir
maximum,Максимум,Maximum,Maximal,Massimo,Maximum,Máximo,最大,최고,最大值,最大值,Máximo
no_place_in_inventory,Нет места в инвентаре,There is no place in the inventory,Es gibt keinen Platz im Inventar,Non c'è posto nell'inventario,Il n'y a pas de place dans l'inventaire,No hay lugar en el inventario,インベントリにない場所はありません,재고의 여지가 없다,有清單中沒有任何地方,有清单中没有任何地方,Não há lugar no inventário
replenish_energy,Пополнить энергию,Replenish energy,Füllt Energie,ricostituire l'energia,Reconstituer l'énergie,reponer la energía,エネルギーを補給,에너지를 보충,補充能量,补充能量,repor a energia
no_resource_log,Не хватает ресурсов\n{0}\n{1}\n{2} ,Not enough resources:\n{0}\n{1}\n{2},Nicht genügend Ressourcen: \n{0}\n{1}\n{2},Risorse insufficienti: \n{0}\n{1}\n{2},Pas assez de ressources: \n{0}\n{1}\n{2},No hay suficientes recursos: \n{0}\n{1}\n{2},十分でないリソース：\n{0} \n{1}\n{2},충분하지 않은 자원 : \n{0}\n{1}\n{2},沒有足夠的資源：\n{0}\n{1}\n{2},没有足够的资源：\n{0}\n{1}\n{2},recursos não é suficiente: \n{0}\n{1}\n{2}
graphics_settings,Настройки графики,Graphics settings,Grafikeinstellungen,impostazioni grafiche,paramètres graphiques,configuración de gráficos,グラフィックスの設定,그래픽 설정,圖形設置,图形设置,configurações gráficas
controller_sensitivity,Чувствительность контроллера,Controller sensitivity,Controller-Empfindlichkeit,la sensibilità del controller,la sensibilité du contrôleur,la sensibilidad del controlador,コントローラの感度,컨트롤러 감도,控制器靈敏度,控制器灵敏度,sensibilidade controlador
low,Низко,Low,Niedrig,basso,Faible,Bajo,ロー,낮은,低,低,Baixo
medium,Средне,Medium,Mittel,medio,Moyen,Medio,ミディアム,매질,中,中,Médio
high,Высоко,High,Hoch,alto,Haute,Alto,高い,높은,高,高,Alto
ultra,Ультра,Ultra,Ultra,Ultra,Ultra,Ultra,ウルトラ,극단론자,超,超,Ultra
